2026-04-17 12:18:25 | DOWN | google.com
2026-04-17 12:18:29 | DOWN | 8.8.8.8
2026-04-17 12:18:33 | DOWN | github.com
2026-04-17 12:21:44 | DOWN | google.com
2026-04-17 12:21:48 | DOWN | 8.8.8.8
2026-04-17 12:21:52 | DOWN | github.com
2026-04-17 12:24:46 | DOWN | google.com
2026-04-17 12:24:50 | DOWN | 8.8.8.8
2026-04-17 12:24:57 | DOWN | cloudflare.com
2026-04-17 12:29:54 | DOWN | google.com
2026-04-17 12:29:56 | DOWN | google.com
2026-04-17 12:29:58 | DOWN | 8.8.8.8
2026-04-17 12:30:00 | DOWN | 8.8.8.8
2026-04-17 12:30:02 | DOWN | cloudflare.com
2026-04-17 12:30:04 | DOWN | cloudflare.com
